title,price,location,date,model,storage,price_num,normalized_link
iPhone 16 128 黑色 電池循環度0 五月開通,"NT$23,000","Taipei, Taiwan",2025-06-26,iPhone 16,128,23000.0,https://www.facebook.com/marketplace/item/1797277965002717/
iPhone 16 128g 黑/白/綠,"$22,000",New Taipei City,2025-06-26,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/1050535980387158/
Iphone 16 128g,"NT$25,500",New Taipei City,2025-06-26,iPhone 16,128,25500.0,https://www.facebook.com/marketplace/item/2518256651857698/
iPhone 16 128g ｜原廠品質、有保固保障,"NT$23,500","Taipei, Taiwan",2025-06-26,iPhone 16,128,23500.0,https://www.facebook.com/marketplace/item/2579078855771307/
全新未拆 iPhone 16 pro 256 256G 金色,"NT$34,000","Taipei, Taiwan",2025-06-26,iPhone 16 Pro,256,34000.0,https://www.facebook.com/marketplace/item/536216262792905/
iPhone 16 Plus 256G 保2026/1/5,"NT$26,800",New Taipei City,2025-06-26,iPhone 16 Plus,256,26800.0,https://www.facebook.com/marketplace/item/1968929736974841/
 iphone 16Plus 128G 黑 拆封未使用 🉑新.,"NT$12,000","Taipei, Taiwan",2025-06-26,iPhone 16 Plus,128,12000.0,https://www.facebook.com/marketplace/item/1031740418417265/
iPhone 16 Pro Max 256 六月開通 循環低 黑色,"NT$37,000","Taipei, Taiwan",2025-06-26,iPhone 16 Pro Max,256,37000.0,https://www.facebook.com/marketplace/item/730333879894915/
iPhone 16 Pro / Pro Max 256 沙漠 白 鈦 全新未拆,"NT$35,000",New Taipei City,2025-06-26,iPhone 16 Pro,256,35000.0,https://www.facebook.com/marketplace/item/2256893341374744/
iPhone 16 Pro Max 512,"NT$42,500",New Taipei City,2025-06-26,iPhone 16 Pro Max,512,42500.0,https://www.facebook.com/marketplace/item/9983103241816292/
女用手機 iPhone13Promax 藍色 低價出售 可以面交,"NT$3,000",New Taipei City,2025-06-26,iPhone 13 Pro Max,Unknown,3000.0,https://www.facebook.com/marketplace/item/613234378294039/
iPhone 16 pro 128 原 🔋100保固2026/1/21,"NT$29,000",New Taipei City,2025-06-26,iPhone 16 Pro,128,29000.0,https://www.facebook.com/marketplace/item/24387059814224547/
iPhone 16 128Gb,"NT$1,800","Taipei, Taiwan",2025-06-26,iPhone 16,128,1800.0,https://www.facebook.com/marketplace/item/1699457017343701/
